종목코드,종목명,현재가,대비기호,전일대비,등락률,거래량,비중,거래대금,상한,상승,보합,하락,하한,상장종목수
001,종합(KOSPI),+2792.05,2,+17.66,+0.64,535034,,11325143,0,355,62,515,0,954
002,대형주,+2782.10,2,+21.76,+0.79,92539,,6887943,0,44,1,54,0,100
003,중형주,-3080.92,5,-5.09,-0.16,86327,,2098380,0,80,2,118,0,200
004,소형주,+2402.21,2,+1.03,+0.04,339176,,1909360,0,190,43,278,0,531
005,음식료업,-4567.51,5,-30.03,-0.65,8315,,239439,0,11,2,33,0,46
006,섬유의복,-236.71,5,-2.16,-0.90,1418,,14807,0,9,2,13,0,25
007,종이목재,+289.97,2,+0.05,+0.02,2563,,7783,0,10,2,8,0,20
008,화학,+4501.43,2,+5.96,+0.13,27474,,913155,0,52,6,66,0,125
009,의약품,-12806.09,5,-110.99,-0.86,10013,,254462,0,23,3,27,0,54
010,비금속광물,-4087.97,5,-26.12,-0.63,2430,,22008,0,5,3,17,0,26
011,철강금속,+5005.88,2,+2.27,+0.05,57552,,361283,0,21,1,31,0,54
012,기계,+1534.67,2,+11.60,+0.76,19493,,481786,0,12,2,27,0,43
013,전기전자,+30232.06,2,+419.09,+1.41,178747,,4598714,0,40,6,29,0,80
014,의료정밀,+1833.02,2,+40.34,+2.25,17993,,253465,0,6,0,2,0,8
015,운수장비,+2861.35,2,+12.23,+0.43,59333,,1396206,0,28,3,31,0,63
016,유통업,+373.15,2,+2.75,+0.74,21551,,447950,0,26,4,36,0,70
017,전기가스업,-753.03,5,-9.46,-1.24,7151,,351492,0,2,3,5,0,10
018,건설업,+70.17,2,+0.06,+0.09,12715,,68977,0,11,3,22,0,38
019,운수창고,+1704.23,2,+1.93,+0.11,36924,,302277,0,7,1,18,0,27
020,통신업,-391.77,5,-1.94,-0.49,2562,,52970,0,0,0,5,0,5
021,금융업,+453.08,2,+0.81,+0.18,37402,,852288,0,47,12,77,0,136
024,증권,-1994.27,5,-24.54,-1.22,7927,,60823,0,7,5,17,0,29
025,보험,+21517.67,2,+356.79,+1.69,7438,,120914,0,10,0,3,0,13
026,서비스업,+1020.10,2,+2.46,+0.24,21569,,664600,0,37,9,53,0,101
027,제조업,+7532.70,2,+62.02,+0.83,387469,,8577805,0,225,30,291,0,559
603,변동성지수,-16.74,5,-0.24,-1.41,0,,0,0,0,0,0,0,0
604,코스피고배당50,-2952.50,5,-7.16,-0.24,34825,,2222306,0,0,0,0,0,0
605,코스피배당성장50,+3994.62,2,+2.66,+0.07,15563,,1883609,0,0,0,0,0,0
